Platform,Text
youtube,guys do you really think we fell for the nothingphone3
youtube,intro was fav
youtube,no upi in bangalore  no attention :face_with_tears_of_joy:
youtube,i guess the s24u on sale is going to kills this phone off
youtube,4:56 stopped at tthis time i cant handle this cringe anymore saying ltps is same as ltpo is peak reetardness dislike report
youtube,paid promotion not genuine review at all
youtube,even for 45k there are phones with better processors better consistent camera clean ui and also additional features like ip6869 etc as he said this phone is only for nothing fans even the nothing company ceo said similar
youtube,display processor battery non ultrasonic fp sensor display protection everything about this phone is bad and their design is absolutely trash coming from someone who absolutely loved nothing phone 3a pros design
youtube,you havent talked anything about phone design glyph matrix is good but when you created a legacy and want to carry it forward making this drastic change its just not good i guess i think creating glyph lights is iconic why to remove something iconic if they kept glyph lights and glyph matrix then that would be great improvement
youtube,one would even think twice to buy it at 40k
youtube,pricing is the main reason to get roasted by many
youtube,like whats the point of getting public interest by your phone when your body looks like shit public should approach you  seeing your body or your intellect not your phone please if you are in your right mind do not buy nothing do not take me for a nothing hater because i have been using nothing phone 3a pro and this was the worst purchase of my life  its all design its not best in anything there are phones better at every thing at same price range and biggest of all  its biggest highlight the software nothing os nothing phone 3a pro is still running on may security patch  even old poco and mi devices get security patch update every month and yet get criticized for having worse software experience even though it has one of the best if we know how to debloat the phone and goodbye nothing i am purchasing new poco f7  will never purchase a nothing again
youtube,i love nothing and i would personally be willing to live with the display camera performance and battery compromises only if i could buy this phone for 55k or less for the 512gb variant anything more than that and its a hard sell even for a person like me who has praised nothing for all their phones so far
youtube,there is no bad phone only bad priced phone can be same for gpu
youtube,bruh you liking you it doesnt matter to majority of us its design specs are mid so should be its price we aint dumb to buy something cos of how it looks
youtube,7:22 lmao my sam a54 heats up to 52:face_with_tears_of_joy:  the thermal paste is cooked tho
youtube,i feel  the phone is well designed it will grow on you like pixel 7 did for me price is shit for the product same like pixel 7 launch price
youtube,otter than the processor i think this is something like cmf 2 pro
youtube,you do know that its ok to say you like it right you dont have to copy what others say because you think people will get angry i think its an awesome phone and if i didnt already have a 16 pro max id definitely pick one up
youtube,if youtube havent removed you will understand stand how your audience will react to this:face_with_tears_of_joy:
youtube,nothing3 is good at nothing 3a pro is better
youtube,why does my phone 2 have ltpo  :thinking_face: i only paid half of the price of this phone 2 years ago
youtube,payment received on google pay
youtube,this phone specifies its brand name nothing  :face_with_tears_of_joy::face_with_tears_of_joy:
youtube,samsung launches their s series phone at 80k but there will be a huge price after 812 months so a person who cant afford 80k can still own that phone at 4050k after some time but that is not the case with nothing so its huge price doesnt make any sense
youtube,4:20 :face_with_tears_of_joy:
youtube,35  40 k :check_mark_button:
youtube,under 80 we can get the s24 ultra which is far away better than this shitttjust matchlesss
youtube,being nothing phone 1 user i was very excited for phone 3 but no glyph sht design and pricing made me not buy this i can compromise with the software because nothing always fixes the bugs but hardware is sht
youtube,nice try diddy :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
youtube,what is carl pei saying what is in his mind techwiser please ask himonly he knows
youtube,if i were to build a flagship nothing i would have :  modified the white into a metallic grey or silver and not a plastic white apperance one also adding more mettalic finish colours  limit the screen size to atmost 65in to give it a seperate impression for premium cuz already midrange ones are 67inalso no complains for a 5k battery shall remain thn  put a rather 8gen3 instead of a 8sgen4 lagging n flickers would have been rarer
youtube,:red_heart:love da may nothing phone 3:face_with_tears_of_joy:
youtube,0:39 oscar deserving performance from whole team:face_with_tears_of_joy::red_heart:
youtube,dekh rhe ho binod log kitna gir jate hai paiso k chakkar mein:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,clicbaitwiser
youtube,crap phone you cant sell substandard phone for a price that hefty  its plain bad and whoever says its pricey  you would call alto bad if it was selling at a price of a ferrari  when you spend so much you want the best not just close or fine
youtube,you got a review piece for free dude why the hell do i spend 80k for its few ve points when i have better options
youtube,4:20 ayo :face_with_tears_of_joy:
youtube,what if one can get s25 ultra for nearly the same price in uae i went for the same after waiting for 3 months for nothing phone 3
youtube,2:03 yeah like a tumor :clown_face:
youtube,nice script work
youtube,is pixel 9a a better phone than pixel 9
youtube,i saw the nothing phone 3 and straight bought the red magic 10s pro for cheaper and is 100 better
youtube,for the first half i was thinking how much nothing paid him:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,software is shit  no transcripts  no text extract or copying text without google lens automatically searching that text and analysing whole image while it can be simple  sentence or sensitive personal info  voice recording no transcripts provided by default no back and forward buttons or gestures in browser u need to get edge browser to access basic quick settings like brightness or rotation or lock rotation for 1 way u either cannot do it or u need to swipe twice  can modify horizontal or vertical sliders  why i cannot fast track through different pages with the dots or slider on home page  whats the point of them  why google pay doesnt ask for verification before paying  anyone on train can just pass by with reader while my phone is unlocked or in suing it and get paid  the apps are not working properly and widgets they dont fit screen properly essential key cant extract text or u cannot select text from screenshots u taken lol  no stacked widgets why  the brightness sensor is so close to edge that it gets triggered and lowers brightness although it is bright  the autofocus sucks on cameras unreliable and no micro shots no they arent better by using telephoto lens bc u just cannot get close enough to objectsso its twice as worst than galaxy or iphone and it needs more light and stabilisation oh right uktawide doesnt have one lol or any laser lidar autofocus help no magnets or massage bc why not  in semi transparent and nothing design would look cool and they are cheap battery not great at all bc processor nm higher  screen not ltpo thus higher power consumption fingerprint scanner limited to one position whatsvtye point of lock screen and not able to interacts with it and face unlock just unsafe  battery again bc bad processor and screen and optimization battery aint great like i dont need too performance at that price etc i want geniuije good fun reliable experience smooth reliable  software and long term  bright screen when i need it for outside and travel  low brightness when at night  great haptics bc workspace and nowadays spinet ringtone but great haptics  no overheating bc many phone do especially outside idk u go with family for holidays so some pictures and vids gps and bright sun and suddenly phone gets supper hot battery drops  brightness drops so bad u cannot see anything so idc most processors are fats enough thus as long as i get smooth reliable experience with good safety and privacy im happy
youtube,this is made for bbd phone they launched it only to sell it for 45000 during diwali sale for whopping 50 off
youtube,the best nothing is budget friendly good os no lag good camera :red_heart:
youtube,why does anyone needs glyph it is jus a gimmick  nobody will use it just like the glyph light
youtube,i would pick samsung s24 ultra instead of this trash  still it will cost me 5k less in sale  it will have overall better experience value performance ui etc i dont know wht nothing guyz were smoking while deciding its price:face_with_tears_of_joy:
youtube,5:00 problem with os is it gets boring fast
youtube,thy thought they are another apple but they forget that they are on same android os which is available on cheaper device
youtube,please dont try to justify this phone just to be on good books with the brand nothing took off with help of indian market but now it betrayed us as if we dont exist for them when asked their response was indians have cheaper alternatives like 3a series this brand not at all deserves our attention please stop making such videos
youtube,at this point of time manchester united jersey selling for 5500 rs is questionable
